event_id,ra,dec,energy,arrival_time,instrument,t90_s
bn251011297,13.2352,-62.0327,2.6647e-06,60959.2975,Fermi-GBM,35.073
bn250421443,249.06,-59.86,2.5096e-06,60786.4434,Fermi-GBM,10.24
bn180809485,297.793,-34.663,7.981e-06,58339.4849,Fermi-GBM,236.036
bn170912273,215.459,-61.9967,3.8202e-06,58008.2735,Fermi-GBM,13.568
bn110929187,288.19,-62.21,2.1973e-06,55833.1867,Fermi-GBM,5.12
bn210603907,145.88,-62.12,6.8998e-07,59368.9073,Fermi-GBM,7.936
bn171004857,26.56,-62.11,1.3102e-06,58030.8567,Fermi-GBM,8.192
bn160528276,114.5,-62.11,7.4301e-07,57536.2762,Fermi-GBM,7.168
bn150802127,151.53,-62.08,1.4592e-05,57236.1271,Fermi-GBM,313.093
bn130406288,157.78,-62.05,2.924e-06,56388.2882,Fermi-GBM,7.936
bn141013803,315.06,-61.89,8.8092e-06,56943.8035,Fermi-GBM,82.432
bn230614385,110.91,-61.88,5.7082e-06,60109.3854,Fermi-GBM,14.909
bn170727841,218.85,-61.84,8.7289e-07,57961.8409,Fermi-GBM,19.2
bn220726405,196.92,-61.82,1.5393e-06,59786.4047,Fermi-GBM,19.456
bn260302597,239.26,-61.82,2.1154e-06,61101.597,Fermi-GBM,11.328
bn250924435,306.44,-61.82,1.2576e-07,60942.4354,Fermi-GBM,0.512
bn210119121,282.804,-61.801,1.8742e-07,59233.1209,Fermi-GBM,0.048
bn170112970,207.76,-61.77,5.6152e-07,57765.9695,Fermi-GBM,7.36
bn150228981,7.55,-61.73,1.1531e-05,57081.981,Fermi-GBM,36.609
bn190507712,86.22,-61.88,1.1122e-07,58610.712,Fermi-GBM,0.096
bn200617679,359.11,-59.83,2.0464e-07,59017.6792,Fermi-GBM,1.216
bn120119229,139.65,-61.33,5.9423e-06,55945.229,Fermi-GBM,41.728
bn150206285,357.94,-61.61,2.983e-06,57059.2848,Fermi-GBM,23.296
bn151231443,65.63,-61.54,8.5926e-05,57387.4429,Fermi-GBM,71.425
bn171025913,338.24,-61.52,4.0953e-07,58051.9131,Fermi-GBM,7.936
bn180822562,185.25,-61.49,8.1165e-06,58352.5615,Fermi-GBM,152.003
bn211124104,94.967,-61.433,5.6924e-07,59542.1041,Fermi-GBM,0.512
bn241223506,159.98,-34.61,6.2659e-05,60667.5061,Fermi-GBM,30.465
bn140115863,210.03,-61.41,3.9525e-06,56672.8634,Fermi-GBM,14.909
bn080719529,153.2,-61.3,7.7533e-07,54666.5289,Fermi-GBM,16.128
bn240227195,69.59,-61.17,4.6732e-07,60367.1946,Fermi-GBM,1.6
bn120304061,127.15,-61.12,5.0461e-06,55990.061,Fermi-GBM,9.984
bn210621447,248.31,-61.07,1.0729e-06,59386.4473,Fermi-GBM,15.616
bn081006872,172.2,-61.0,3.8718e-07,54745.8719,Fermi-GBM,3.328
bn150514774,74.85,-60.91,4.7356e-06,57156.7744,Fermi-GBM,10.813
