condition,detector_overlap,bin_index,screen_position,probability,hit_count
two_slit_coherent,1.0,153,21.50753769,1.4025094065055443,174
two_slit_coherent,1.0,154,21.90954774,1.4574493061822384,164
two_slit_coherent,1.0,155,22.31155779,1.505363386870282,207
two_slit_coherent,1.0,156,22.71356784,1.5457773042647003,197
two_slit_coherent,1.0,157,23.11557789,1.578302205856327,213
two_slit_coherent,1.0,158,23.51758794,1.6026380272510496,203
two_slit_coherent,1.0,159,23.91959799,1.6185757579157505,221
two_slit_coherent,1.0,160,24.32160804,1.6259986618130102,202
two_slit_coherent,1.0,161,24.72361809,1.6248824506643018,182
two_slit_coherent,1.0,162,25.12562814,1.6152944197597408,218
two_slit_coherent,1.0,163,25.52763819,1.5973915681667132,203
two_slit_coherent,1.0,164,25.92964824,1.5714177367392606,173
two_slit_coherent,1.0,165,26.33165829,1.5376998083605784,172
two_slit_coherent,1.0,166,26.73366834,1.4966430252354632,175
two_slit_coherent,1.0,167,27.13567839,1.4487254876703604,157
two_slit_coherent,1.0,168,27.53768844,1.3944919075285043,175
two_slit_coherent,1.0,169,27.93969849,1.3345466973310782,168
two_slit_coherent,1.0,170,28.34170854,1.2695464827094587,153
two_slit_coherent,1.0,171,28.74371859,1.2001921315294388,145
two_slit_coherent,1.0,172,29.14572864,1.1272203974511323,149
two_slit_coherent,1.0,173,29.54773869,1.0513952789180998,126
two_slit_coherent,1.0,174,29.94974874,0.9734991965617279,130
two_slit_coherent,1.0,175,30.35175879,0.8943240927526606,108
two_slit_coherent,1.0,176,30.75376884,0.8146625565363697,112
two_slit_coherent,1.0,177,31.15577889,0.7352990754759625,94
two_slit_coherent,1.0,178,31.55778894,0.6570015130279616,76
two_slit_coherent,1.0,179,31.95979899,0.5805129060458946,70
two_slit_coherent,1.0,180,32.36180905,0.506543670102523,53
two_slit_coherent,1.0,181,32.7638191,0.4357643069339764,58
two_slit_coherent,1.0,182,33.16582915,0.36879866293340213,55
two_slit_coherent,1.0,183,33.5678392,0.30621784414576647,34
two_slit_coherent,1.0,184,33.96984925,0.24853481999812044,36
two_slit_coherent,1.0,185,34.3718593,0.19619977790250426,23
two_slit_coherent,1.0,186,34.77386935,0.1495962682162052,21
two_slit_coherent,1.0,187,35.1758794,0.1090381709800281,11
two_slit_coherent,1.0,188,35.57788945,0.07476750569135515,11
two_slit_coherent,1.0,189,35.9798995,0.04695309510596912,5
two_slit_coherent,1.0,190,36.38190955,0.02569008382703586,4
two_slit_coherent,1.0,191,36.7839196,0.011000302355162916,2
two_slit_coherent,1.0,192,37.18592965,0.00283345746069974,0
two_slit_coherent,1.0,193,37.5879397,0.0010691203135920757,0
two_slit_coherent,1.0,194,37.98994975,0.005519474876145791,0
two_slit_coherent,1.0,195,38.3919598,0.01593278073115889,0
two_slit_coherent,1.0,196,38.79396985,0.031997496874354936,4
two_slit_coherent,1.0,197,39.1959799,0.05334700612829191,5
two_slit_coherent,1.0,198,39.59798995,0.07956487380653343,10
two_slit_coherent,1.0,199,40.0,0.11019056913190195,9
two_slit_which_path,0.0,0,-40.0,0.5727211855200671,68
two_slit_which_path,0.0,1,-39.59798995,0.5795127118452587,63
two_slit_which_path,0.0,2,-39.1959799,0.5862974397823464,77
two_slit_which_path,0.0,3,-38.79396985,0.5930739189192876,55
two_slit_which_path,0.0,4,-38.3919598,0.5998406940282488,67
two_slit_which_path,0.0,5,-37.98994975,0.6065963055066523,65
two_slit_which_path,0.0,6,-37.5879397,0.6133392898210608,72
two_slit_which_path,0.0,7,-37.18592965,0.6200681799537251,72
two_slit_which_path,0.0,8,-36.7839196,0.6267815058516419,73
two_slit_which_path,0.0,9,-36.38190955,0.6334777948779522,70
two_slit_which_path,0.0,10,-35.9798995,0.6401555722655154,62
two_slit_which_path,0.0,11,-35.57788945,0.6468133615724909,83
two_slit_which_path,0.0,12,-35.1758794,0.6534496851397625,79
two_slit_which_path,0.0,13,-34.77386935,0.6600630645500336,69
two_slit_which_path,0.0,14,-34.3718593,0.6666520210884235,81
two_slit_which_path,0.0,15,-33.96984925,0.6732150762043951,68
two_slit_which_path,0.0,16,-33.5678392,0.6797507519748383,76
two_slit_which_path,0.0,17,-33.16582915,0.6862575715681447,103
two_slit_which_path,0.0,18,-32.7638191,0.6927340597090879,81
two_slit_which_path,0.0,19,-32.36180905,0.6991787431443481,76
two_slit_which_path,0.0,20,-31.95979899,0.7055901512675553,73
two_slit_which_path,0.0,21,-31.55778894,0.7119668159484515,87
two_slit_which_path,0.0,22,-31.15577889,0.7183072729562361,80
two_slit_which_path,0.0,23,-30.75376884,0.7246100617870879,104
two_slit_which_path,0.0,24,-30.35175879,0.730873726290155,92
two_slit_which_path,0.0,25,-29.94974874,0.7370968151332316,108
two_slit_which_path,0.0,26,-29.54773869,0.7432778822678371,82
two_slit_which_path,0.0,27,-29.14572864,0.7494154873935345,103
two_slit_which_path,0.0,28,-28.74371859,0.7555081964212995,95
two_slit_which_path,0.0,29,-28.34170854,0.7615545819357766,86
two_slit_which_path,0.0,30,-27.93969849,0.7675532236562298,97
two_slit_which_path,0.0,31,-27.53768844,0.7735027088960321,90
two_slit_which_path,0.0,32,-27.13567839,0.7794016330205003,106
two_slit_which_path,0.0,33,-26.73366834,0.7852485999029103,101
two_slit_which_path,0.0,34,-26.33165829,0.7910422223785163,103
two_slit_which_path,0.0,35,-25.92964824,0.7967811226963972,95
two_slit_which_path,0.0,36,-25.52763819,0.8024639329689616,110
two_slit_which_path,0.0,37,-25.12562814,0.8080892956189321,107
two_slit_which_path,0.0,38,-24.72361809,0.8136558638236451,88
two_slit_which_path,0.0,39,-24.32160804,0.8191623019564858,97
